Column1;audienceRating;Genre;criticRating;timeMin;grossMillions;Movie;Vote;Budget;Year;Profit
3900;81;Action;81;136;93666;Star Wars: Episode VII - Le réveil de la Force;711233;22397;2015;71269
2341;78;Action;83;162;76051;Avatar;965941;15298;2009;60753
3905;70;Action;59;124;65227;Jurassic World;477077;26572;2015;38655
3102;81;Action;69;143;62336;Avengers;1076804;11630;2012;50706
2081;90;Action;82;152;53486;The Dark Knight: Le chevalier noir;1865768;594;2008;52892
4152;78;Action;65;133;53218;Rogue One: A Star Wars story;389648;7893;2016;45325
4407;73;Family;65;129;50401;La Belle et la Bête;185548;16500;2017;33901
3903;74;Action;66;141;45901;Avengers: L'ère d'Ultron;550524;15343;2015;30558
3100;84;Action;78;164;44814;The Dark Knight Rises;1270260;17820;2012;26994
1040;72;Animation;75;93;43647;Shrek 2;347057;13615;2004;30032
3356;75;Action;76;146;42467;Hunger Games: L'embrasement;541597;7294;2013;35173
1546;73;Action;53;151;42332;Pirates des Caraïbes - Le secret du coffre maudit;573925;16138;2006;26194
4398;76;Action;76;141;41256;Wonder Woman;346166;23414;2017;17842
3354;72;Action;62;130;40901;Iron Man 3;613695;27421;2013;13480
4149;79;Action;75;147;40808;Captain America: Civil War;458516;14686;2016;26122
3103;72;Adventure;68;142;40801;Hunger Games;755305;25925;2012;14876
510;73;Action;73;121;40371;Spider-Man;593285;27859;2002;12512
2352;60;Action;35;150;40211;Transformers - La revanche;346392;14711;2009;25500
3361;75;Animation;74;102;40074;La reine des neiges;471526;26997;2013;13077
4399;78;Action;67;136;38981;Les Gardiens de la Galaxie Vol.2;310416;10436;2017;28545
2839;81;Adventure;87;130;38101;Harry Potter et les reliques de la mort: 2ème partie;619174;10867;2011;27234
776;81;Animation;90;100;38084;Le monde de Nemo;783468;13990;2003;24094
1285;76;Action;68;140;38026;Star Wars: Épisode III - La revanche des Sith;583187;23199;2005;14827
773;89;Adventure;94;201;37785;Le seigneur des anneaux: Le retour du roi;1350668;13442;2003;24343
1030;73;Action;83;127;37359;Spider-Man 2;457265;7572;2004;29787
1063;72;Drama;47;127;37078;La passion du Christ;190333;1733;2004;35345
4184;66;Animation;61;87;36838;Comme des bêtes;138184;12233;2016;24605
3379;74;Animation;62;98;36806;Moi, moche et méchant 2;317907;2384;2013;34422
4147;80;Action;65;108;36307;Deadpool;687103;25652;2016;10655
3906;82;Animation;94;95;35646;Vice-versa;452016;26624;2015;9022
3910;72;Action;67;137;35301;Fast & Furious 7;313487;20746;2015;14555
2857;63;Action;42;154;35239;Transformers 3: La face cachée de la lune;348377;15948;2011;19291
3640;73;Action;72;133;35013;American Sniper;368418;27695;2014;7318
508;87;Adventure;87;179;34255;Le seigneur des anneaux: Les deux tours;1222581;6606;2002;27649
4155;80;Animation;78;108;34127;Zootopie;326675;25446;2016;8681
3648;67;Action;64;123;33714;Hunger Games: La révolte - 1ère partie;346804;1529;2014;32185
1825;62;Action;59;139;33653;Spider-Man 3;421883;13010;2007;20643
3927;64;Animation;56;91;33605;Les Minions;172670;22858;2015;10747
2599;65;Adventure;53;108;33419;Alice au pays des merveilles;335019;29391;2010;4028
3627;81;Action;76;121;33318;Les Gardiens de la Galaxie;805628;29260;2014;4058
4148;66;Action;44;151;33036;Batman v Superman: L'aube de la justice;513628;20995;2016;12041
4405;76;Drama;70;135;32748;Ça;200913;24399;2017;8349
4406;77;Action;86;152;32128;Star Wars: Episode VIII - Les derniers Jedi;198563;15349;2017;16779
1839;61;Animation;58;93;32071;Shrek le Troisième;232982;17262;2007;14809
1818;71;Action;61;144;31907;Transformers;544676;14500;2007;17407
2083;79;Action;79;126;31841;Iron Man;766046;25461;2008;6380
261;76;Adventure;64;152;31758;Harry Potter à l'école des sorciers;507373;20610;2001;11148
255;88;Adventure;92;178;31554;Le seigneur des anneaux: La communauté de l'anneau;1370856;1951;2001;29603
2592;70;Action;57;124;31243;Iron Man 2;579760;5284;2010;25959
513;66;Action;54;142;31068;Star Wars: Épisode II - L'attaque des clones;522780;5307;2002;25761
1821;71;Action;50;169;30942;Pirates des Caraïbes - Jusqu'au bout du monde;519998;4243;2007;26699
4410;81;Action;73;130;30829;Thor: Ragnarok;173344;26520;2017;4309
774;80;Action;63;143;30541;Pirates des Caraïbes - La malédiction du Black Pearl;897622;25147;2003;5394
3106;78;Action;81;143;30436;Skyfall;561010;3444;2012;26992
2351;76;Adventure;78;153;30196;Harry Potter et le prince de sang-mêlé;368675;14298;2009;15898
2619;49;Adventure;58;124;30053;Twilight: chapitre 3 - Hésitation;197554;15995;2010;14058
2363;47;Adventure;44;130;29662;Twilight: Chapitre 2 - Tentation;234180;21820;2009;7842
2598;77;Adventure;65;146;29598;Harry Potter et les reliques de la mort: 1ère partie;375231;15477;2010;14121
2588;88;Action;74;148;29258;Inception;1654587;7205;2010;22053
1292;69;Adventure;75;143;29171;Le monde de Narnia: chapitre 1 - Le lion, la sorcière blanche et l'armoire magique;314569;22275;2005;6896
3355;71;Action;55;143;29105;Man of Steel;601331;17974;2013;11131
1286;77;Adventure;81;157;29001;Harry Potter et la coupe de feu;436162;2943;2005;26058
257;81;Animation;78;92;28992;Monstres et Cie;662356;4797;2001;24195
3918;66;Action;65;137;28172;Hunger Games: La révolte - 2ème partie;218672;12315;2015;15857
777;72;Action;62;138;28149;Matrix Reloaded;450789;25508;2003;2641
2880;49;Adventure;45;117;28129;Twilight: Chapitre 4 - Révélation, 1ère partie;194808;1897;2011;26232
1056;63;Comedy;41;115;27926;Mon beau-père, mes parents et moi;225629;22083;2004;5843
2343;77;Comedy;73;100;27732;Very Bad Trip;628852;21367;2009;6365
3353;78;Drama;96;91;27409;Gravity;647456;705;2013;26704
4204;71;Animation;59;108;27033;Tous en scène;89116;8258;2016;18775
3380;73;Animation;65;104;26849;Monstres Academy;263337;9380;2013;17469
260;79;Animation;84;90;26767;Shrek;512971;4924;2001;21843
4435;63;Animation;49;90;26462;Moi, moche et méchant 3;58951;25620;2017;842
3111;70;Action;66;136;26203;The Amazing Spider-Man;489786;14219;2012;11984
515;74;Adventure;63;161;26199;Harry Potter et la chambre des secrets;439581;11585;2002;14614
1029;80;Animation;90;115;26144;Les indestructibles;528605;11481;2004;14663
24;61;Comedy;46;104;26004;Le Grinch;160752;19368;2000;6636
3630;78;Action;70;136;25977;Captain America: Le soldat de l'hiver;570900;10812;2014;15165
3357;79;Adventure;66;161;25837;Le Hobbit: La désolation de Smaug;530459;8210;2013;17627
3656;78;Animation;83;100;25776;La grande aventure Lego;278112;7800;2014;17976
